Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2014,028750,Brother LC-50M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,8718237000411,871823700041.0,8718237000411.0
2142,028751,Brother LC-50M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,2.0,8.0,8718237000428,871823700042.0,8718237000428.0
2015,028770,Brother LC-50Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,3.0,5.0,8718237000435,871823700043.0,8718237000435.0
2143,028771,Brother LC-50Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,4.0,2.0,8718237000442,871823700044.0,8718237000442.0
5732,028951,Brother LC-600BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,5.0,9.0,8718237000459,871823700045.0,8718237000459.0
6863,028952,Brother LC-600BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,6.0,6.0,8718237000466,871823700046.0,8718237000466.0
5733,028961,Brother LC-600C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,7.0,3.0,8718237000473,871823700047.0,8718237000473.0
6864,028962,Brother LC-600C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,8.0,0.0,8718237000480,871823700048.0,8718237000480.0
5734,028971,Brother LC-600M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,9.0,7.0,8718237000497,871823700049.0,8718237000497.0
6865,028972,Brother LC-600M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,0.0,3.0,8718237000503,871823700050.0,8718237000503.0
